Episode,ta41,ta42,ta43,ta44,ta45,,sum
275,2254,2170,2119,,,,6543
276,2254,2170,2119,,,,6543
277,2254,2170,2119,,,,6543
278,2254,2170,2119,,,,6543
279,2254,2170,2119,,,,6543
280,2254,2170,2119,,,,6543
281,2254,2170,2119,,,,6543
282,2254,2170,2119,,,,6543
283,2254,2170,2119,,,,6543
284,2254,2170,2119,,,,6543
285,2254,2170,2119,,,,6543
286,2254,2170,2119,,,,6543
287,2254,2170,2119,,,,6543
288,2254,2170,2119,,,,6543
289,2254,2170,2119,,,,6543
290,2254,2170,2119,,,,6543
291,2254,2170,2119,,,,6543
292,2254,2170,2119,,,,6543
293,2254,2170,2119,,,,6543
294,2254,2170,2119,,,,6543
295,2254,2170,2119,,,,6543
296,2254,2170,2119,,,,6543
297,2254,2170,2119,,,,6543
298,2254,2170,2119,,,,6543
299,2254,2170,2119,,,,6543
300,2254,2170,2119,,,,6543
301,2254,2170,2119,,,,6543
302,2254,2170,2119,,,,6543
303,2254,2170,2119,,,,6543
304,2254,2170,2119,,,,6543
305,2254,2170,2119,,,,6543
306,2254,2170,2119,,,,6543
307,2254,2170,2119,,,,6543
308,2254,2170,2119,,,,6543
309,2254,2170,2119,,,,6543
310,2254,2170,2119,,,,6543
311,2254,2170,2119,,,,6543
312,2254,2170,2119,,,,6543
313,2254,2170,2119,,,,6543
314,2254,2170,2119,,,,6543
315,2254,2170,2119,,,,6543
316,2254,2170,2119,,,,6543
317,2254,2170,2119,,,,6543
318,2254,2170,2119,,,,6543
319,2254,2170,2119,,,,6543
320,2254,2170,2119,,,,6543
321,2254,2170,2119,,,,6543
322,2254,2170,2119,,,,6543
323,2254,2170,2119,,,,6543
324,2254,2170,2119,,,,6543
325,2254,2170,2119,,,,6543
326,2254,2170,2119,,,,6543
327,2254,2170,2119,,,,6543
328,2254,2170,2119,,,,6543
329,2254,2170,2119,,,,6543
330,2254,2170,2119,,,,6543
331,2254,2170,2119,,,,6543
332,2254,2170,2119,,,,6543
333,2254,2170,2119,,,,6543
334,2254,2170,2119,,,,6543
335,2254,2170,2119,,,,6543
336,2254,2170,2119,,,,6543
337,2254,2170,2119,,,,6543
338,2254,2170,2119,,,,6543
339,2254,2170,2119,,,,6543
340,2254,2170,2119,,,,6543
341,2254,2170,2119,,,,6543
342,2254,2170,2119,,,,6543
343,2254,2170,2119,,,,6543
344,2254,2170,2119,,,,6543
345,2254,2170,2119,,,,6543
346,2254,2170,2119,,,,6543
347,2254,2170,2119,,,,6543
348,2254,2170,2119,,,,6543
349,2254,2170,2119,,,,6543
350,2254,2170,2119,,,,6543
351,2254,2170,2119,,,,6543
352,2254,2170,2119,,,,6543
353,2254,2170,2119,,,,6543
354,2254,2170,2119,,,,6543
355,2254,2170,2119,,,,6543
356,2254,2170,2119,,,,6543
357,2254,2170,2119,,,,6543
358,2254,2170,2119,,,,6543
359,2254,2170,2119,,,,6543
360,2254,2170,2119,,,,6543
361,2254,2170,2119,,,,6543
362,2254,2170,2119,,,,6543
363,2254,2170,2119,,,,6543
364,2254,2170,2119,,,,6543
365,2254,2170,2119,,,,6543
366,2254,2170,2119,,,,6543
367,2254,2170,2119,,,,6543
368,2254,2170,2119,,,,6543
369,2254,2170,2119,,,,6543
370,2254,2170,2119,,,,6543
371,2254,2170,2119,,,,6543
372,2254,2170,2119,,,,6543
373,2254,2170,2119,,,,6543
374,2254,2170,2119,,,,6543
375,2254,2170,2119,,,,6543
376,2254,2170,2119,,,,6543
377,2254,2170,2119,,,,6543
378,2254,2170,2119,,,,6543
379,2254,2170,2119,,,,6543
380,2254,2170,2119,,,,6543
381,2254,2170,2119,,,,6543
382,2254,2170,2119,,,,6543
383,2254,2170,2119,,,,6543
384,2254,2170,2119,,,,6543
385,2254,2170,2119,,,,6543
386,2254,2170,2119,,,,6543
387,2254,2170,2119,,,,6543
388,2254,2170,2119,,,,6543
389,2254,2170,2119,,,,6543
390,2254,2170,2119,,,,6543
391,2254,2170,2119,,,,6543
392,2254,2170,2119,,,,6543
393,2254,2170,2119,,,,6543
394,2254,2170,2119,,,,6543
395,2254,2170,2119,,,,6543
396,2254,2170,2119,,,,6543
397,2254,2170,2119,,,,6543
398,2254,2170,2119,,,,6543
399,2254,2170,2119,,,,6543
400,2254,2170,2119,,,,6543
401,2254,2170,2119,,,,6543
402,2254,2170,2119,,,,6543
403,2254,2170,2119,,,,6543
404,2254,2170,2119,,,,6543
405,2254,2170,2119,,,,6543
406,2254,2170,2119,,,,6543
407,2254,2170,2119,,,,6543
408,2254,2170,2119,,,,6543
409,2254,2170,2119,,,,6543
410,2254,2170,2119,,,,6543
411,2254,2170,2119,,,,6543
412,2254,2170,2119,,,,6543
413,2254,2170,2119,,,,6543
414,2254,2170,2119,,,,6543
415,2254,2170,2119,,,,6543
416,2254,2170,2119,,,,6543
417,2254,2170,2119,,,,6543
